"","Acknowledge response (user)","Compliment/praise/face-enhancing feedback (user)","Information-eliciting question (user)","Request – non-sentential (user)","Thanking (user)","Request – indirect (user)","Absolving – acceptance (user)","Absolving – denial (user)","Hint - statement (user)","Apology (IFID) (user)","Request – direct (user)","Declining (user)","Politeness marker please (user)","Absolving - ignore (user)"
"2b71cb60",0.73327963570503,0.491596040125088,-0.85076694951111,0.214515359306131,0.443394451313706,-1.37991465711256,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"4D2ekMAIis",-0.810466965779244,-0.737394060187631,-1.2833603136693,-0.0919351539883417,-0.730296743340222,-0.70126810443425,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"55b3120cfdf99b6ef6263a71",-0.810466965779244,-0.737394060187631,2.17738659959623,-0.245160410635578,-0.730296743340222,-0.70126810443425,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"577c065c9fecfe0001a5bcc7",-0.810466965779244,-0.737394060187631,-0.418173585352919,2.05321843907297,-0.730296743340222,-1.37991465711256,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"5c8d1bee1bb19f00019d519e",-0.0385936650371069,-0.122899010031272,-0.85076694951111,2.05321843907297,-0.339066345122246,-1.37991465711256,0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"5ced03998f09450015fa845d",0.347342985333962,1.10609109028145,0.663309825042561,0.674191129247839,-0.339066345122246,-0.0226215517559435,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"5f36cd2444884c0f7ff186f6",0.73327963570503,-0.737394060187631,0.230716460884369,0.674191129247839,-0.730296743340222,0.656025000922363,2.90348627655437,2.19848432637882,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"5fdbb3b4e66d7f061f78ea21",-0.810466965779244,-0.737394060187631,-0.201876903273823,-0.398385667282814,-0.339066345122246,-0.0226215517559435,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"608b0f7f4699c09aa348c57f",-0.424530315408175,1.72058614043781,1.31219987127985,-1.31773720716623,2.00831604418561,-0.0226215517559435,2.90348627655437,2.19848432637882,3.61602017778714,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"60c48655811ab33a8f77dd34",3.04889953793144,1.10609109028145,1.52849655335894,-1.31773720716623,3.96446803527549,1.33467155360067,0.580697255310873,-0.439696865275764,2.93375221971409,5.29465138921661,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"61489eae028bc2392c90af21",-0.0385936650371069,0.491596040125088,-0.85076694951111,-0.55161092393005,-0.730296743340222,-1.37991465711256,0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,1.65209314649807,-0.262769136406122,-0.555437339668367,-0.182574185835055
"68942e2a",0.73327963570503,2.33508119059417,-0.634470267432015,-0.0919351539883417,0.834624849531682,0.656025000922363,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,3.6787679096857,-0.555437339668367,-0.182574185835055
"7460a2a0",0.73327963570503,-0.737394060187631,0.663309825042561,0.367740615953367,0.443394451313706,1.33467155360067,1.74209176593262,-0.439696865275764,-0.477587570651131,-0.182574185835055,1.65209314649807,-0.262769136406122,1.6663120190051,-0.182574185835055
"77x3diEC4B",-0.810466965779244,-0.737394060187631,-0.418173585352919,-1.31773720716623,-0.730296743340222,-0.0226215517559435,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"EioCaKa",-0.810466965779244,-0.737394060187631,-0.418173585352919,1.89999318242573,-0.730296743340222,1.33467155360067,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"Fxikuau",-0.810466965779244,-0.737394060187631,-1.06706363159021,-0.245160410635578,-0.730296743340222,0.656025000922363,-0.580697255310873,-0.439696865275764,0.204680387421913,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"KlOmIXe",-0.810466965779244,-0.737394060187631,-1.06706363159021,-0.0919351539883417,-0.730296743340222,-0.0226215517559435,-0.580697255310873,-0.439696865275764,0.886948345494958,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"LFiNVaQ",0.347342985333962,-0.122899010031272,0.447013142963465,-0.55161092393005,0.834624849531682,-0.0226215517559435,-0.580697255310873,-0.439696865275764,0.886948345494958,-0.182574185835055,-0.413023286624517,-0.262769136406122,0.555437339668367,-0.182574185835055
"PPmiUbC",2.2770262371893,1.72058614043781,0.230716460884369,-0.704836180577286,0.443394451313706,-1.37991465711256,0.580697255310873,-0.439696865275764,0.204680387421913,-0.182574185835055,-0.413023286624517,-0.262769136406122,2.77718669834183,5.29465138921661
"bKBDfgUAa3",-0.810466965779244,-0.737394060187631,-1.06706363159021,-0.0919351539883417,-0.339066345122246,-0.70126810443425,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,3.6787679096857,-0.555437339668367,-0.182574185835055
"coe2XtNapn",0.347342985333962,0.491596040125088,0.014419778805273,-0.704836180577286,0.443394451313706,0.656025000922363,-0.580697255310873,2.19848432637882,-0.477587570651131,-0.182574185835055,1.65209314649807,-0.262769136406122,1.6663120190051,-0.182574185835055
"h8x8QLzyCx",-0.810466965779244,-0.737394060187631,-0.201876903273823,-0.704836180577286,0.0521640530957301,-1.37991465711256,0.580697255310873,-0.439696865275764,0.886948345494958,-0.182574185835055,1.65209314649807,-0.262769136406122,0.555437339668367,-0.182574185835055
"mmhHDA6eue",-0.424530315408175,-0.737394060187631,-0.85076694951111,-0.245160410635578,0.0521640530957301,-0.70126810443425,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"nRHLDUQ",-0.424530315408175,-0.122899010031272,0.663309825042561,-0.0919351539883417,-0.339066345122246,1.33467155360067,0.580697255310873,2.19848432637882,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,0.555437339668367,-0.182574185835055
"pC0jYVl",0.347342985333962,-0.122899010031272,-0.634470267432015,-0.245160410635578,-0.339066345122246,-0.0226215517559435,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"qk8kmns74p",-0.810466965779244,-0.737394060187631,-0.85076694951111,0.520965872600603,-0.339066345122246,-0.70126810443425,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,0.555437339668367,-0.182574185835055
"sVzhG",0.73327963570503,0.491596040125088,0.230716460884369,-1.31773720716623,0.443394451313706,-0.0226215517559435,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,-0.555437339668367,-0.182574185835055
"tcYis3RLgY",1.50515293644717,2.33508119059417,0.663309825042561,0.214515359306131,0.443394451313706,1.33467155360067,0.580697255310873,2.19848432637882,0.204680387421913,-0.182574185835055,-0.413023286624517,-0.262769136406122,2.77718669834183,-0.182574185835055
"wwwfod2dos",-0.810466965779244,-0.737394060187631,2.82627664583352,-0.704836180577286,-0.730296743340222,2.01331810627898,-0.580697255310873,-0.439696865275764,-0.477587570651131,-0.182574185835055,-0.413023286624517,-0.262769136406122,0.555437339668367,-0.182574185835055
"xMKcudn",-0.810466965779244,-0.737394060187631,0.014419778805273,2.35966895236744,-0.730296743340222,0.656025000922363,-0.580697255310873,-0.439696865275764,0.204680387421913,-0.182574185835055,3.71720957962065,-0.262769136406122,-0.555437339668367,-0.182574185835055
